,8,,,10,,,8,,,9,,,10
-,7,,-,7,,-,7,,-,7,,-,7
,1,,,3,,,1,,,2,,,3

,9,,,10,,,10,,,10,,,9
-,7,,-,7,,-,7,,-,7,,-,7
,2,,,3,,,3,,,3,,,2

,10,,,8,,,8,,,9,,,9
-,7,,-,7,,-,7,,-,7,,-,7
,3,,,1,,,1,,,2,,,2

,10,,,9,,,10,,,9,,,10
-,7,,-,7,,-,7,,-,7,,-,7
,3,,,2,,,3,,,2,,,3

,10,,,9,,,9,,,10,,,9
-,7,,-,7,,-,7,,-,7,,-,7
,3,,,2,,,2,,,3,,,2

,8,,,9,,,8,,,10,,,9,,,8,,,8,,,9,,,10,,,8
-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7
,1,,,2,,,1,,,3,,,2,,,1,,,1,,,2,,,3,,,1

,9,,,10,,,10,,,9,,,8,,,10,,,9,,,10,,,8,,,8
-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7
,2,,,3,,,3,,,2,,,1,,,3,,,2,,,3,,,1,,,1

,9,,,10,,,9,,,8,,,9,,,10,,,8,,,9,,,9,,,8
-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7
,2,,,3,,,2,,,1,,,2,,,3,,,1,,,2,,,2,,,1

,10,,,8,,,9,,,8,,,10,,,10,,,10,,,8,,,10,,,9
-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7
,3,,,1,,,2,,,1,,,3,,,3,,,3,,,1,,,3,,,2

,10,,,10,,,8,,,8,,,10,,,9,,,9,,,9,,,9,,,10
-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7
,3,,,3,,,1,,,1,,,3,,,2,,,2,,,2,,,2,,,3

,10,,,9,,,9,,,9,,,9,,,8,,,10,,,9,,,8,,,8
-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7
,3,,,2,,,2,,,2,,,2,,,1,,,3,,,2,,,1,,,1

,8,,,8,,,10,,,10,,,8,,,10,,,8,,,10,,,8,,,10
-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7
,1,,,1,,,3,,,3,,,1,,,3,,,1,,,3,,,1,,,3

