,8,,,15,,,16,,,15,,,9
-,7,,-,7,,-,7,,-,7,,-,7
,1,,,8,,,9,,,8,,,2

,14,,,12,,,16,,,8,,,13
-,7,,-,7,,-,7,,-,7,,-,7
,7,,,5,,,9,,,1,,,6

,16,,,14,,,12,,,14,,,9
-,7,,-,7,,-,7,,-,7,,-,7
,9,,,7,,,5,,,7,,,2

,9,,,16,,,11,,,11,,,11
-,7,,-,7,,-,7,,-,7,,-,7
,2,,,9,,,4,,,4,,,4

,8,,,13,,,15,,,14,,,16
-,7,,-,7,,-,7,,-,7,,-,7
,1,,,6,,,8,,,7,,,9

,10,,,10,,,8,,,10,,,13,,,15,,,13,,,14,,,16,,,13
-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7
,3,,,3,,,1,,,3,,,6,,,8,,,6,,,7,,,9,,,6

,14,,,14,,,15,,,15,,,14,,,10,,,13,,,13,,,13,,,9
-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7
,7,,,7,,,8,,,8,,,7,,,3,,,6,,,6,,,6,,,2

,15,,,11,,,8,,,15,,,15,,,8,,,11,,,10,,,10,,,9
-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7
,8,,,4,,,1,,,8,,,8,,,1,,,4,,,3,,,3,,,2

,15,,,13,,,10,,,15,,,9,,,9,,,9,,,12,,,14,,,16
-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7
,8,,,6,,,3,,,8,,,2,,,2,,,2,,,5,,,7,,,9

,9,,,16,,,8,,,10,,,16,,,14,,,16,,,8,,,12,,,10
-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7
,2,,,9,,,1,,,3,,,9,,,7,,,9,,,1,,,5,,,3

,14,,,8,,,15,,,9,,,12,,,11,,,10,,,9,,,15,,,15
-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7
,7,,,1,,,8,,,2,,,5,,,4,,,3,,,2,,,8,,,8

,14,,,8,,,15,,,12,,,14,,,15,,,9,,,9,,,15,,,15
-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7,,-,7
,7,,,1,,,8,,,5,,,7,,,8,,,2,,,2,,,8,,,8

