,14,,,1,,,6,,,19,,,6
2,28,,6,6,,7,42,,3,57,,7,42

,12,,,14,,,16,,,9,,,10
6,72,,3,42,,4,64,,7,63,,6,60

,25,,,2,,,9,,,26,,,38
3,75,,5,10,,7,63,,3,78,,2,76

,12,,,13,,,9,,,14,,,27
5,60,,4,52,,6,54,,3,42,,3,81

,7,,,17,,,12,,,8,,,24
3,21,,3,51,,2,24,,9,72,,2,48

,27,,,10,,,12,,,5,,,5,,,5,,,26,,,7,,,8
3,81,,4,40,,2,24,,4,20,,6,30,,7,35,,2,52,,5,35,,2,16

,9,,,20,,,8,,,10,,,2,,,19,,,6,,,34,,,16
9,81,,2,40,,5,40,,4,40,,4,8,,2,38,,8,48,,2,68,,4,64

,6,,,11,,,19,,,7,,,10,,,6,,,10,,,23,,,33
6,36,,6,66,,2,38,,5,35,,7,70,,2,12,,6,60,,2,46,,2,66

,17,,,7,,,25,,,24,,,11,,,1,,,13,,,6,,,18
2,34,,3,21,,2,50,,3,72,,7,77,,2,2,,4,52,,3,18,,2,36

,25,,,8,,,27,,,10,,,12,,,16,,,3,,,16,,,14
2,50,,7,56,,3,81,,6,60,,2,24,,3,48,,2,6,,5,80,,5,70

,3,,,17,,,20,,,10,,,34,,,1,,,30,,,28,,,9
4,12,,4,68,,3,60,,7,70,,2,68,,2,2,,2,60,,2,56,,6,54

,5,,,14,,,5,,,3,,,9,,,19,,,1,,,7,,,4
6,30,,5,70,,3,15,,5,15,,8,72,,2,38,,7,7,,7,49,,7,28

,14,,,5,,,3,,,7,,,4,,,2,,,13,,,1,,,6
5,70,,8,40,,8,24,,8,56,,6,24,,3,6,,2,26,,3,3,,5,30

,2,,,27,,,20,,,6,,,2,,,10,,,6,,,8,,,10
4,8,,3,81,,4,80,,2,12,,7,14,,4,40,,2,12,,8,64,,8,80

,15,,,7,,,4,,,1,,,2,,,22,,,4,,,10,,,22
4,60,,4,28,,6,24,,4,4,,9,18,,3,66,,2,8,,2,20,,2,44

