,3,,,8,,,18,,,28,,,11
5,15,,5,40,,3,54,,1,28,,6,66

,3,,,17,,,26,,,20,,,70
6,18,,2,34,,1,26,,1,20,,1,70

,14,,,17,,,7,,,2,,,25
1,14,,2,34,,1,7,,1,2,,1,25

,27,,,25,,,13,,,9,,,43
1,27,,3,75,,1,13,,9,81,,1,43

,3,,,15,,,49,,,30,,,66
9,27,,2,30,,1,49,,1,30,,1,66

,80,,,13,,,4,,,35,,,38,,,9,,,27,,,79,,,61
1,80,,2,26,,4,16,,2,70,,2,76,,8,72,,1,27,,1,79,,1,61

,32,,,18,,,10,,,10,,,3,,,1,,,10,,,73,,,5
2,64,,2,36,,8,80,,5,50,,7,21,,5,5,,7,70,,1,73,,3,15

,18,,,59,,,5,,,5,,,56,,,14,,,60,,,71,,,12
1,18,,1,59,,9,45,,9,45,,1,56,,3,42,,1,60,,1,71,,4,48

,27,,,16,,,2,,,19,,,10,,,29,,,5,,,22,,,9
2,54,,1,16,,7,14,,4,76,,3,30,,1,29,,8,40,,3,66,,2,18

,8,,,76,,,20,,,13,,,55,,,45,,,20,,,4,,,4
7,56,,1,76,,4,80,,2,26,,1,55,,1,45,,1,20,,3,12,,3,12

,44,,,9,,,5,,,9,,,45,,,46,,,14,,,6,,,50
1,44,,3,27,,8,40,,2,18,,1,45,,1,46,,2,28,,7,42,,1,50

,9,,,32,,,6,,,20,,,72,,,10,,,11,,,17,,,14
3,27,,2,64,,3,18,,3,60,,1,72,,1,10,,4,44,,4,68,,2,28

,10,,,4,,,21,,,27,,,49,,,18,,,66,,,2,,,8
8,80,,4,16,,2,42,,3,81,,1,49,,3,54,,1,66,,8,16,,3,24

,9,,,11,,,35,,,6,,,4,,,2,,,37,,,27,,,1
3,27,,5,55,,1,35,,9,54,,3,12,,1,2,,1,37,,1,27,,4,4

,30,,,20,,,6,,,20,,,24,,,6,,,18,,,39,,,2
2,60,,2,40,,8,48,,3,60,,2,48,,2,12,,2,36,,2,78,,8,16

