,10,,,18,,,11,,,14,,,10
-,9,,-,9,,-,9,,-,9,,-,9
,1,,,9,,,2,,,5,,,1

,13,,,15,,,16,,,11,,,16
-,9,,-,9,,-,9,,-,9,,-,9
,4,,,6,,,7,,,2,,,7

,12,,,15,,,15,,,14,,,10
-,9,,-,9,,-,9,,-,9,,-,9
,3,,,6,,,6,,,5,,,1

,11,,,12,,,10,,,10,,,15
-,9,,-,9,,-,9,,-,9,,-,9
,2,,,3,,,1,,,1,,,6

,17,,,13,,,10,,,12,,,14
-,9,,-,9,,-,9,,-,9,,-,9
,8,,,4,,,1,,,3,,,5

,14,,,16,,,10,,,16,,,10,,,10,,,17,,,18,,,13,,,18
-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9
,5,,,7,,,1,,,7,,,1,,,1,,,8,,,9,,,4,,,9

,11,,,18,,,10,,,11,,,12,,,11,,,10,,,12,,,15,,,11
-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9
,2,,,9,,,1,,,2,,,3,,,2,,,1,,,3,,,6,,,2

,11,,,18,,,11,,,11,,,13,,,15,,,12,,,12,,,11,,,12
-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9
,2,,,9,,,2,,,2,,,4,,,6,,,3,,,3,,,2,,,3

,17,,,13,,,15,,,18,,,11,,,18,,,14,,,17,,,15,,,11
-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9
,8,,,4,,,6,,,9,,,2,,,9,,,5,,,8,,,6,,,2

,15,,,11,,,10,,,12,,,16,,,11,,,10,,,14,,,14,,,12
-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9
,6,,,2,,,1,,,3,,,7,,,2,,,1,,,5,,,5,,,3

,16,,,11,,,15,,,14,,,11,,,14,,,16,,,11,,,14,,,17
-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9
,7,,,2,,,6,,,5,,,2,,,5,,,7,,,2,,,5,,,8

,15,,,16,,,14,,,11,,,12,,,12,,,11,,,11,,,14,,,13
-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9,,-,9
,6,,,7,,,5,,,2,,,3,,,3,,,2,,,2,,,5,,,4

