,12,,,3,,,5,,,2,,,9
4,48,,5,15,,6,30,,4,8,,5,45

,4,,,7,,,9,,,7,,,8
6,24,,4,28,,4,36,,5,35,,4,32

,5,,,2,,,6,,,10,,,10
5,25,,6,12,,5,30,,5,50,,5,50

,1,,,7,,,2,,,4,,,9
4,4,,6,42,,4,8,,5,20,,5,45

,8,,,10,,,2,,,8,,,8
4,32,,4,40,,6,12,,5,40,,6,48

,9,,,3,,,13,,,2,,,5,,,4,,,1,,,8,,,9
5,45,,4,12,,4,52,,5,10,,5,25,,4,16,,4,4,,5,40,,6,54

,9,,,5,,,1,,,2,,,6,,,6,,,13,,,6,,,12
4,36,,6,30,,6,6,,6,12,,6,36,,6,36,,4,52,,6,36,,4,48

,7,,,2,,,6,,,4,,,9,,,5,,,3,,,6,,,6
4,28,,4,8,,6,36,,5,20,,6,54,,6,30,,6,18,,5,30,,6,36

,9,,,6,,,5,,,8,,,4,,,10,,,4,,,4,,,8
5,45,,6,36,,4,20,,5,40,,5,20,,4,40,,5,20,,6,24,,6,48

,12,,,2,,,11,,,5,,,6,,,11,,,2,,,5,,,2
4,48,,5,10,,4,44,,6,30,,4,24,,4,44,,4,8,,5,25,,5,10

,6,,,3,,,10,,,7,,,4,,,7,,,11,,,10,,,5
5,30,,4,12,,5,50,,5,35,,5,20,,4,28,,4,44,,5,50,,5,25

,4,,,6,,,3,,,6,,,4,,,3,,,6,,,6,,,1
6,24,,5,30,,5,15,,5,30,,4,16,,6,18,,6,36,,6,36,,4,4

,8,,,2,,,2,,,5,,,13,,,2,,,13,,,8,,,10
4,32,,5,10,,4,8,,5,25,,4,52,,5,10,,4,52,,5,40,,4,40

,13,,,7,,,5,,,12,,,1,,,12,,,7,,,4,,,4
4,52,,5,35,,6,30,,4,48,,6,6,,4,48,,4,28,,6,24,,4,16

,6,,,7,,,1,,,3,,,7,,,1,,,6,,,12,,,6
5,30,,5,35,,5,5,,5,15,,4,28,,4,4,,4,24,,4,48,,5,30

