,9,,,5,,,3,,,2,,,9
2,18,,2,10,,2,6,,2,4,,2,18

,8,,,3,,,9,,,5,,,4
2,16,,2,6,,2,18,,2,10,,2,8

,3,,,5,,,4,,,8,,,2
2,6,,2,10,,2,8,,2,16,,2,4

,9,,,5,,,9,,,3,,,7
2,18,,2,10,,2,18,,2,6,,2,14

,2,,,3,,,5,,,7,,,7
2,4,,2,6,,2,10,,2,14,,2,14

,1,,,9,,,8,,,6,,,9,,,8,,,7,,,8,,,2
2,2,,2,18,,2,16,,2,12,,2,18,,2,16,,2,14,,2,16,,2,4

,4,,,5,,,6,,,9,,,3,,,3,,,7,,,1,,,7
2,8,,2,10,,2,12,,2,18,,2,6,,2,6,,2,14,,2,2,,2,14

,3,,,8,,,6,,,4,,,4,,,9,,,2,,,6,,,8
2,6,,2,16,,2,12,,2,8,,2,8,,2,18,,2,4,,2,12,,2,16

,4,,,4,,,5,,,3,,,4,,,7,,,2,,,2,,,2
2,8,,2,8,,2,10,,2,6,,2,8,,2,14,,2,4,,2,4,,2,4

,2,,,3,,,1,,,7,,,8,,,5,,,1,,,1,,,9
2,4,,2,6,,2,2,,2,14,,2,16,,2,10,,2,2,,2,2,,2,18

,4,,,9,,,4,,,7,,,1,,,5,,,3,,,9,,,3
2,8,,2,18,,2,8,,2,14,,2,2,,2,10,,2,6,,2,18,,2,6

,3,,,9,,,8,,,4,,,4,,,6,,,7,,,3,,,8
2,6,,2,18,,2,16,,2,8,,2,8,,2,12,,2,14,,2,6,,2,16

,6,,,9,,,7,,,1,,,4,,,6,,,7,,,2,,,4
2,12,,2,18,,2,14,,2,2,,2,8,,2,12,,2,14,,2,4,,2,8

,7,,,2,,,4,,,5,,,6,,,2,,,5,,,8,,,1
2,14,,2,4,,2,8,,2,10,,2,12,,2,4,,2,10,,2,16,,2,2

,3,,,6,,,1,,,4,,,5,,,5,,,6,,,1,,,6
2,6,,2,12,,2,2,,2,8,,2,10,,2,10,,2,12,,2,2,,2,12

